,id_turma,discente,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao
452283,57597055,a609ebc6b61e57772e4b2490decd1ef0,92127264.0,3.0,7.5,f,0.0,6.6,8.0,APROVADO POR NOTA
452284,57597055,a609ebc6b61e57772e4b2490decd1ef0,92127264.0,1.0,5.3,f,0.0,6.6,8.0,APROVADO POR NOTA
452285,57597055,a609ebc6b61e57772e4b2490decd1ef0,92127264.0,2.0,7.1,f,0.0,6.6,8.0,APROVADO POR NOTA
452286,57597055,0990b22d5cc621235045b4c4d54d1642,92127264.0,2.0,4.8,f,0.0,5.8,12.0,APROVADO POR NOTA
452287,57597055,0990b22d5cc621235045b4c4d54d1642,92127264.0,1.0,5.9,f,0.0,5.8,12.0,APROVADO POR NOTA
452288,57597055,0990b22d5cc621235045b4c4d54d1642,92127264.0,3.0,6.8,f,0.0,5.8,12.0,APROVADO POR NOTA
452289,57597055,257106d0aa81fc1644cd40bbbf402dd3,92127264.0,3.0,6.7,f,0.0,6.2,8.0,APROVADO POR NOTA
452290,57597055,257106d0aa81fc1644cd40bbbf402dd3,92127264.0,2.0,6.5,f,0.0,6.2,8.0,APROVADO POR NOTA
452291,57597055,257106d0aa81fc1644cd40bbbf402dd3,92127264.0,1.0,5.3,f,0.0,6.2,8.0,APROVADO POR NOTA
452292,57597055,cc45c845f764c7be86f3959bffec4495,92127264.0,3.0,7.8,f,0.0,7.9,4.0,APROVADO
452293,57597055,cc45c845f764c7be86f3959bffec4495,92127264.0,2.0,9.5,f,0.0,7.9,4.0,APROVADO
452294,57597055,cc45c845f764c7be86f3959bffec4495,92127264.0,1.0,6.5,f,0.0,7.9,4.0,APROVADO
452295,57597055,a11036a354234b060228d4bdb03febf6,92127264.0,1.0,0.0,f,0.0,0.0,92.0,REPROVADO POR MÉDIA E POR FALTAS
452296,57597055,a11036a354234b060228d4bdb03febf6,92127264.0,3.0,0.0,f,0.0,0.0,92.0,REPROVADO POR MÉDIA E POR FALTAS
452297,57597055,a11036a354234b060228d4bdb03febf6,92127264.0,2.0,0.0,f,0.0,0.0,92.0,REPROVADO POR MÉDIA E POR FALTAS
452298,57597055,9e6591d1bb6e6e4c20ffea96b4fde2d3,92127264.0,3.0,6.5,f,0.0,6.6,44.0,APROVADO POR NOTA
452299,57597055,9e6591d1bb6e6e4c20ffea96b4fde2d3,92127264.0,1.0,6.8,f,0.0,6.6,44.0,APROVADO POR NOTA
452300,57597055,9e6591d1bb6e6e4c20ffea96b4fde2d3,92127264.0,2.0,6.5,f,0.0,6.6,44.0,APROVADO POR NOTA
452301,57597055,2238664ca4997472a24aa4d025b433c5,92127264.0,2.0,5.6,f,0.0,5.9,24.0,APROVADO POR NOTA
452302,57597055,2238664ca4997472a24aa4d025b433c5,92127264.0,1.0,5.7,f,0.0,5.9,24.0,APROVADO POR NOTA
452303,57597055,2238664ca4997472a24aa4d025b433c5,92127264.0,3.0,6.5,f,0.0,5.9,24.0,APROVADO POR NOTA
452304,57597055,af8816d69255be63852233c3e1fed3fd,92127264.0,3.0,7.1,f,0.0,6.1,36.0,APROVADO POR NOTA
452305,57597055,af8816d69255be63852233c3e1fed3fd,92127264.0,2.0,5.2,f,0.0,6.1,36.0,APROVADO POR NOTA
452306,57597055,af8816d69255be63852233c3e1fed3fd,92127264.0,1.0,0.0,t,0.0,6.1,36.0,APROVADO POR NOTA
452307,57597055,4b4c3047c53651fb22563810f94aefda,92127264.0,3.0,5.2,f,0.0,5.2,4.0,APROVADO POR NOTA
452308,57597055,4b4c3047c53651fb22563810f94aefda,92127264.0,2.0,6.2,f,0.0,5.2,4.0,APROVADO POR NOTA
452309,57597055,4b4c3047c53651fb22563810f94aefda,92127264.0,1.0,4.3,f,0.0,5.2,4.0,APROVADO POR NOTA
452310,57597055,e2b9745017b06db7434ec9bde5278397,92127264.0,3.0,4.5,f,0.0,4.1,32.0,REPROVADO
452311,57597055,e2b9745017b06db7434ec9bde5278397,92127264.0,2.0,4.2,f,0.0,4.1,32.0,REPROVADO
452312,57597055,e2b9745017b06db7434ec9bde5278397,92127264.0,1.0,3.5,f,0.0,4.1,32.0,REPROVADO
452313,57597055,925577b2cff079d05d9651797d30a68f,92127264.0,3.0,0.0,f,0.0,0.0,128.0,REPROVADO POR MÉDIA E POR FALTAS
452314,57597055,925577b2cff079d05d9651797d30a68f,92127264.0,1.0,0.0,f,0.0,0.0,128.0,REPROVADO POR MÉDIA E POR FALTAS
452315,57597055,925577b2cff079d05d9651797d30a68f,92127264.0,2.0,0.0,f,0.0,0.0,128.0,REPROVADO POR MÉDIA E POR FALTAS
452316,57597055,7262cabf20f153ceaefb5a4180d0a859,92127264.0,2.0,7.5,f,0.0,7.2,8.0,APROVADO
452317,57597055,7262cabf20f153ceaefb5a4180d0a859,92127264.0,1.0,7.3,f,0.0,7.2,8.0,APROVADO
452318,57597055,7262cabf20f153ceaefb5a4180d0a859,92127264.0,3.0,6.8,f,0.0,7.2,8.0,APROVADO
