,Unnamed: 0,id_turma,discente,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
3,141015,1217917,e8276e72614c5828286b43d50704d1a0,1.0,6.2,f,5.8,12.0,APROVADO POR NOTA
4,141016,1217917,e8276e72614c5828286b43d50704d1a0,2.0,5.5,f,5.8,12.0,APROVADO POR NOTA
5,141017,1217917,e8276e72614c5828286b43d50704d1a0,3.0,5.7,f,5.8,12.0,APROVADO POR NOTA
6,141018,1217917,30327d430572d0c720dcd1682a39c361,1.0,1.0,t,7.1,47.0,APROVADO
7,141019,1217917,30327d430572d0c720dcd1682a39c361,2.0,9.3,f,7.1,47.0,APROVADO
8,141020,1217917,30327d430572d0c720dcd1682a39c361,3.0,7.0,f,7.1,47.0,APROVADO
9,141021,1217917,b9cc628293a174538ea7495da29d59df,3.0,7.1,f,8.1,16.0,APROVADO
10,141022,1217917,b9cc628293a174538ea7495da29d59df,1.0,8.6,f,8.1,16.0,APROVADO
11,141023,1217917,b9cc628293a174538ea7495da29d59df,2.0,8.7,f,8.1,16.0,APROVADO
16,141028,1217917,48bda966ddad288bba1f680237cdef70,1.0,1.4,t,8.9,25.0,APROVADO
17,141029,1217917,48bda966ddad288bba1f680237cdef70,2.0,10.0,f,8.9,25.0,APROVADO
18,141030,1217917,48bda966ddad288bba1f680237cdef70,3.0,7.7,f,8.9,25.0,APROVADO
19,141031,1217917,480a730ca3e8657e4d203f06d6baaae1,1.0,10.0,f,10.0,0.0,APROVADO
20,141032,1217917,480a730ca3e8657e4d203f06d6baaae1,2.0,10.0,f,10.0,0.0,APROVADO
21,141033,1217917,480a730ca3e8657e4d203f06d6baaae1,3.0,9.9,f,10.0,0.0,APROVADO
22,141034,1217917,c64950466f754a7a5656d1968f33c8fc,1.0,8.9,f,8.9,8.0,APROVADO
23,141035,1217917,c64950466f754a7a5656d1968f33c8fc,2.0,10.0,f,8.9,8.0,APROVADO
24,141036,1217917,c64950466f754a7a5656d1968f33c8fc,3.0,7.9,f,8.9,8.0,APROVADO
47,141059,1217917,27a86baa1e6bf11c2b06e41852647da7,3.0,9.0,f,8.8,38.0,APROVADO
48,141060,1217917,27a86baa1e6bf11c2b06e41852647da7,1.0,1.4,t,8.8,38.0,APROVADO
49,141061,1217917,27a86baa1e6bf11c2b06e41852647da7,2.0,10.0,f,8.8,38.0,APROVADO
51,141063,1217917,beed682bd05cbf0d48966972e0478621,1.0,9.1,f,8.3,8.0,APROVADO
52,141064,1217917,beed682bd05cbf0d48966972e0478621,2.0,8.4,f,8.3,8.0,APROVADO
53,141065,1217917,beed682bd05cbf0d48966972e0478621,3.0,7.5,f,8.3,8.0,APROVADO
55,141067,1217917,08f0ed62082e3a3455c675630a546cfe,1.0,6.9,f,6.6,50.0,APROVADO
56,141068,1217917,08f0ed62082e3a3455c675630a546cfe,2.0,1.7,t,6.6,50.0,APROVADO
57,141069,1217917,08f0ed62082e3a3455c675630a546cfe,3.0,4.8,f,6.6,50.0,APROVADO
58,141070,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,1.0,8.1,f,8.6,10.0,APROVADO
59,141071,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,2.0,9.4,f,8.6,10.0,APROVADO
60,141072,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,3.0,8.2,f,8.6,10.0,APROVADO
64,141076,1217917,d0bd6488461f69112553e12fd0b6e5e1,1.0,3.1,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
65,141077,1217917,d0bd6488461f69112553e12fd0b6e5e1,2.0,0.5,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
66,141078,1217917,d0bd6488461f69112553e12fd0b6e5e1,3.0,0.0,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
67,141079,1217917,ee67c654a285629b1e24292c717dc9e5,1.0,3.9,f,5.3,32.0,APROVADO POR NOTA
68,141080,1217917,ee67c654a285629b1e24292c717dc9e5,2.0,6.0,f,5.3,32.0,APROVADO POR NOTA
69,141081,1217917,ee67c654a285629b1e24292c717dc9e5,3.0,6.0,f,5.3,32.0,APROVADO POR NOTA
70,141082,1217917,f111a05877915e0c15509d555f34195c,2.0,4.6,f,5.7,25.0,APROVADO POR NOTA
71,141083,1217917,f111a05877915e0c15509d555f34195c,3.0,3.7,f,5.7,25.0,APROVADO POR NOTA
72,141084,1217917,f111a05877915e0c15509d555f34195c,1.0,8.7,f,5.7,25.0,APROVADO POR NOTA
76,141088,1217917,643c9220efb15461041ff2d9323d6794,1.0,4.0,f,6.3,21.0,APROVADO POR NOTA
77,141089,1217917,643c9220efb15461041ff2d9323d6794,2.0,8.6,f,6.3,21.0,APROVADO POR NOTA
78,141090,1217917,643c9220efb15461041ff2d9323d6794,3.0,6.2,f,6.3,21.0,APROVADO POR NOTA
79,141091,1217917,7f2fd9688308a85c2f1f88490cf3382d,1.0,5.3,f,5.8,10.0,APROVADO POR NOTA
80,141092,1217917,7f2fd9688308a85c2f1f88490cf3382d,2.0,6.4,f,5.8,10.0,APROVADO POR NOTA
81,141093,1217917,7f2fd9688308a85c2f1f88490cf3382d,3.0,5.8,f,5.8,10.0,APROVADO POR NOTA
85,141097,1217917,240d89786f849e37a4d06809e635fa47,1.0,3.4,f,3.4,30.0,REPROVADO
86,141098,1217917,240d89786f849e37a4d06809e635fa47,2.0,2.8,f,3.4,30.0,REPROVADO
87,141099,1217917,240d89786f849e37a4d06809e635fa47,3.0,4.1,f,3.4,30.0,REPROVADO
103,215615,1217917,e8276e72614c5828286b43d50704d1a0,1.0,6.2,f,5.8,12.0,APROVADO POR NOTA
104,215616,1217917,e8276e72614c5828286b43d50704d1a0,2.0,5.5,f,5.8,12.0,APROVADO POR NOTA
105,215617,1217917,e8276e72614c5828286b43d50704d1a0,3.0,5.7,f,5.8,12.0,APROVADO POR NOTA
106,215618,1217917,30327d430572d0c720dcd1682a39c361,1.0,1.0,t,7.1,47.0,APROVADO
107,215619,1217917,30327d430572d0c720dcd1682a39c361,2.0,9.3,f,7.1,47.0,APROVADO
108,215620,1217917,30327d430572d0c720dcd1682a39c361,3.0,7.0,f,7.1,47.0,APROVADO
109,215621,1217917,b9cc628293a174538ea7495da29d59df,3.0,7.1,f,8.1,16.0,APROVADO
110,215622,1217917,b9cc628293a174538ea7495da29d59df,1.0,8.6,f,8.1,16.0,APROVADO
111,215623,1217917,b9cc628293a174538ea7495da29d59df,2.0,8.7,f,8.1,16.0,APROVADO
116,215628,1217917,48bda966ddad288bba1f680237cdef70,1.0,1.4,t,8.9,25.0,APROVADO
117,215629,1217917,48bda966ddad288bba1f680237cdef70,2.0,10.0,f,8.9,25.0,APROVADO
118,215630,1217917,48bda966ddad288bba1f680237cdef70,3.0,7.7,f,8.9,25.0,APROVADO
119,215631,1217917,480a730ca3e8657e4d203f06d6baaae1,1.0,10.0,f,10.0,0.0,APROVADO
120,215632,1217917,480a730ca3e8657e4d203f06d6baaae1,2.0,10.0,f,10.0,0.0,APROVADO
121,215633,1217917,480a730ca3e8657e4d203f06d6baaae1,3.0,9.9,f,10.0,0.0,APROVADO
122,215634,1217917,c64950466f754a7a5656d1968f33c8fc,1.0,8.9,f,8.9,8.0,APROVADO
123,215635,1217917,c64950466f754a7a5656d1968f33c8fc,2.0,10.0,f,8.9,8.0,APROVADO
124,215636,1217917,c64950466f754a7a5656d1968f33c8fc,3.0,7.9,f,8.9,8.0,APROVADO
147,215659,1217917,27a86baa1e6bf11c2b06e41852647da7,3.0,9.0,f,8.8,38.0,APROVADO
148,215660,1217917,27a86baa1e6bf11c2b06e41852647da7,1.0,1.4,t,8.8,38.0,APROVADO
149,215661,1217917,27a86baa1e6bf11c2b06e41852647da7,2.0,10.0,f,8.8,38.0,APROVADO
151,215663,1217917,beed682bd05cbf0d48966972e0478621,1.0,9.1,f,8.3,8.0,APROVADO
152,215664,1217917,beed682bd05cbf0d48966972e0478621,2.0,8.4,f,8.3,8.0,APROVADO
153,215665,1217917,beed682bd05cbf0d48966972e0478621,3.0,7.5,f,8.3,8.0,APROVADO
155,215667,1217917,08f0ed62082e3a3455c675630a546cfe,1.0,6.9,f,6.6,50.0,APROVADO
156,215668,1217917,08f0ed62082e3a3455c675630a546cfe,2.0,1.7,t,6.6,50.0,APROVADO
157,215669,1217917,08f0ed62082e3a3455c675630a546cfe,3.0,4.8,f,6.6,50.0,APROVADO
158,215670,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,1.0,8.1,f,8.6,10.0,APROVADO
159,215671,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,2.0,9.4,f,8.6,10.0,APROVADO
160,215672,1217917,5bf0f8963be465bd3f9d1aa78ca9ce1e,3.0,8.2,f,8.6,10.0,APROVADO
164,215676,1217917,d0bd6488461f69112553e12fd0b6e5e1,1.0,3.1,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
165,215677,1217917,d0bd6488461f69112553e12fd0b6e5e1,2.0,0.5,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
166,215678,1217917,d0bd6488461f69112553e12fd0b6e5e1,3.0,0.0,f,1.2,134.0,REPROVADO POR MÉDIA E POR FALTAS
167,215679,1217917,ee67c654a285629b1e24292c717dc9e5,1.0,3.9,f,5.3,32.0,APROVADO POR NOTA
168,215680,1217917,ee67c654a285629b1e24292c717dc9e5,2.0,6.0,f,5.3,32.0,APROVADO POR NOTA
169,215681,1217917,ee67c654a285629b1e24292c717dc9e5,3.0,6.0,f,5.3,32.0,APROVADO POR NOTA
170,215682,1217917,f111a05877915e0c15509d555f34195c,2.0,4.6,f,5.7,25.0,APROVADO POR NOTA
171,215683,1217917,f111a05877915e0c15509d555f34195c,3.0,3.7,f,5.7,25.0,APROVADO POR NOTA
172,215684,1217917,f111a05877915e0c15509d555f34195c,1.0,8.7,f,5.7,25.0,APROVADO POR NOTA
176,215688,1217917,643c9220efb15461041ff2d9323d6794,1.0,4.0,f,6.3,21.0,APROVADO POR NOTA
177,215689,1217917,643c9220efb15461041ff2d9323d6794,2.0,8.6,f,6.3,21.0,APROVADO POR NOTA
178,215690,1217917,643c9220efb15461041ff2d9323d6794,3.0,6.2,f,6.3,21.0,APROVADO POR NOTA
179,215691,1217917,7f2fd9688308a85c2f1f88490cf3382d,1.0,5.3,f,5.8,10.0,APROVADO POR NOTA
180,215692,1217917,7f2fd9688308a85c2f1f88490cf3382d,2.0,6.4,f,5.8,10.0,APROVADO POR NOTA
181,215693,1217917,7f2fd9688308a85c2f1f88490cf3382d,3.0,5.8,f,5.8,10.0,APROVADO POR NOTA
185,215697,1217917,240d89786f849e37a4d06809e635fa47,1.0,3.4,f,3.4,30.0,REPROVADO
186,215698,1217917,240d89786f849e37a4d06809e635fa47,2.0,2.8,f,3.4,30.0,REPROVADO
187,215699,1217917,240d89786f849e37a4d06809e635fa47,3.0,4.1,f,3.4,30.0,REPROVADO
200,491918,1217917,906fb61db8d4c543d4f9e8d746e250b0,1.0,10.0,f,10.0,6.0,APROVADO
201,491919,1217917,906fb61db8d4c543d4f9e8d746e250b0,2.0,9.9,f,10.0,6.0,APROVADO
202,491920,1217917,906fb61db8d4c543d4f9e8d746e250b0,3.0,10.0,f,10.0,6.0,APROVADO
206,491924,1217917,a0a89fb407d12afefeb585fbd0232e80,1.0,9.0,f,9.6,10.0,APROVADO
207,491925,1217917,a0a89fb407d12afefeb585fbd0232e80,2.0,10.0,f,9.6,10.0,APROVADO
208,491926,1217917,a0a89fb407d12afefeb585fbd0232e80,3.0,9.7,f,9.6,10.0,APROVADO
209,491927,1217917,1e30378e6116ffd948012d513a448944,1.0,7.7,f,6.4,31.0,APROVADO POR NOTA
210,491928,1217917,1e30378e6116ffd948012d513a448944,2.0,5.8,f,6.4,31.0,APROVADO POR NOTA
211,491929,1217917,1e30378e6116ffd948012d513a448944,3.0,5.6,f,6.4,31.0,APROVADO POR NOTA
212,491930,1217917,851fe8913fe7e4e3bb131ee4a393bcb6,1.0,4.8,f,5.3,22.0,APROVADO POR NOTA
213,491931,1217917,851fe8913fe7e4e3bb131ee4a393bcb6,2.0,6.9,f,5.3,22.0,APROVADO POR NOTA
214,491932,1217917,851fe8913fe7e4e3bb131ee4a393bcb6,3.0,4.3,f,5.3,22.0,APROVADO POR NOTA
215,491933,1217917,72dcd1fa143cad070004d10eee2545fd,2.0,6.4,f,6.1,14.0,APROVADO POR NOTA
216,491934,1217917,72dcd1fa143cad070004d10eee2545fd,3.0,5.5,f,6.1,14.0,APROVADO POR NOTA
217,491935,1217917,72dcd1fa143cad070004d10eee2545fd,1.0,6.3,f,6.1,14.0,APROVADO POR NOTA
221,491939,1217917,e793aa9d2b00b6830ee02eeb41f24dc2,1.0,8.4,f,8.4,10.0,APROVADO
222,491940,1217917,e793aa9d2b00b6830ee02eeb41f24dc2,2.0,8.5,f,8.4,10.0,APROVADO
223,491941,1217917,e793aa9d2b00b6830ee02eeb41f24dc2,3.0,8.2,f,8.4,10.0,APROVADO
230,491948,1217917,a6828dd2dd4b8ff21c763f6d1f6f5e04,1.0,7.2,f,7.3,16.0,APROVADO
231,491949,1217917,a6828dd2dd4b8ff21c763f6d1f6f5e04,2.0,6.8,f,7.3,16.0,APROVADO
232,491950,1217917,a6828dd2dd4b8ff21c763f6d1f6f5e04,3.0,7.8,f,7.3,16.0,APROVADO
233,491951,1217917,a7aeb59e1b92828f2ec3bd5cb467ff1f,1.0,7.7,f,6.7,26.0,APROVADO POR NOTA
234,491952,1217917,a7aeb59e1b92828f2ec3bd5cb467ff1f,2.0,5.8,f,6.7,26.0,APROVADO POR NOTA
235,491953,1217917,a7aeb59e1b92828f2ec3bd5cb467ff1f,3.0,6.7,f,6.7,26.0,APROVADO POR NOTA
242,491960,1217917,aad31258ef0f8e30cd3d4eea691a6c18,1.0,8.3,f,8.0,0.0,APROVADO
243,491961,1217917,aad31258ef0f8e30cd3d4eea691a6c18,2.0,8.2,f,8.0,0.0,APROVADO
244,491962,1217917,aad31258ef0f8e30cd3d4eea691a6c18,3.0,7.5,f,8.0,0.0,APROVADO
248,491966,1217917,b7b1498c4d147abaa8cdb2635ea251e7,1.0,6.6,f,7.6,8.0,APROVADO
249,491967,1217917,b7b1498c4d147abaa8cdb2635ea251e7,2.0,8.2,f,7.6,8.0,APROVADO
250,491968,1217917,b7b1498c4d147abaa8cdb2635ea251e7,3.0,8.1,f,7.6,8.0,APROVADO
251,491969,1217917,52a3502de65d64546ec195cf3a52efdd,3.0,8.5,f,9.4,32.0,APROVADO
252,491970,1217917,52a3502de65d64546ec195cf3a52efdd,1.0,10.0,f,9.4,32.0,APROVADO
253,491971,1217917,52a3502de65d64546ec195cf3a52efdd,2.0,9.8,f,9.4,32.0,APROVADO
254,491972,1217917,47f433897cb69ee2468df16dedaa44f3,1.0,8.1,f,6.3,48.0,APROVADO POR NOTA
255,491973,1217917,47f433897cb69ee2468df16dedaa44f3,2.0,5.4,f,6.3,48.0,APROVADO POR NOTA
256,491974,1217917,47f433897cb69ee2468df16dedaa44f3,3.0,5.3,f,6.3,48.0,APROVADO POR NOTA
260,491978,1217917,65ea9e0d687a5db2d0ee98d6b8c82e47,2.0,0.0,f,0.6,148.0,REPROVADO POR MÉDIA E POR FALTAS
261,491979,1217917,65ea9e0d687a5db2d0ee98d6b8c82e47,3.0,0.0,f,0.6,148.0,REPROVADO POR MÉDIA E POR FALTAS
262,491980,1217917,65ea9e0d687a5db2d0ee98d6b8c82e47,1.0,1.9,f,0.6,148.0,REPROVADO POR MÉDIA E POR FALTAS
276,491994,1217917,94a4e2adb12c18557230095046025c52,1.0,5.9,f,5.5,40.0,APROVADO POR NOTA
277,491995,1217917,94a4e2adb12c18557230095046025c52,2.0,5.2,f,5.5,40.0,APROVADO POR NOTA
278,491996,1217917,94a4e2adb12c18557230095046025c52,3.0,5.5,f,5.5,40.0,APROVADO POR NOTA
279,491997,1217917,f74e8d844ba3ad5aaa4cfb9a70abec8d,1.0,7.1,f,7.6,34.0,APROVADO
280,491998,1217917,f74e8d844ba3ad5aaa4cfb9a70abec8d,2.0,7.5,f,7.6,34.0,APROVADO
281,491999,1217917,f74e8d844ba3ad5aaa4cfb9a70abec8d,3.0,8.1,f,7.6,34.0,APROVADO
282,492000,1217917,1769378784613a7f89344897979d8d68,1.0,10.0,f,9.0,28.0,APROVADO
283,492001,1217917,1769378784613a7f89344897979d8d68,2.0,8.1,f,9.0,28.0,APROVADO
284,492002,1217917,1769378784613a7f89344897979d8d68,3.0,8.9,f,9.0,28.0,APROVADO
285,492003,1217917,5be55a323a13bfe43f222a4d04047907,1.0,9.1,f,9.7,28.0,APROVADO
286,492004,1217917,5be55a323a13bfe43f222a4d04047907,2.0,10.0,f,9.7,28.0,APROVADO
287,492005,1217917,5be55a323a13bfe43f222a4d04047907,3.0,10.0,f,9.7,28.0,APROVADO
288,492006,1217917,64643cedb489d1f1c79849ae3d5b4835,1.0,3.5,f,6.6,8.0,APROVADO POR NOTA
289,492007,1217917,64643cedb489d1f1c79849ae3d5b4835,2.0,8.2,f,6.6,8.0,APROVADO POR NOTA
290,492008,1217917,64643cedb489d1f1c79849ae3d5b4835,3.0,8.0,f,6.6,8.0,APROVADO POR NOTA
296,492014,1217917,d74b3e9757144bbf51198784155a6ade,1.0,9.7,f,9.4,8.0,APROVADO
297,492015,1217917,d74b3e9757144bbf51198784155a6ade,2.0,8.5,f,9.4,8.0,APROVADO
298,492016,1217917,d74b3e9757144bbf51198784155a6ade,3.0,10.0,f,9.4,8.0,APROVADO
300,492018,1217917,00451143ff85cced810a59ae7dcc61e6,1.0,8.2,f,9.1,44.0,APROVADO
301,492019,1217917,00451143ff85cced810a59ae7dcc61e6,2.0,10.0,f,9.1,44.0,APROVADO
302,492020,1217917,00451143ff85cced810a59ae7dcc61e6,3.0,9.1,f,9.1,44.0,APROVADO
309,563866,1217917,906fb61db8d4c543d4f9e8d746e250b0,1.0,10.0,f,10.0,6.0,APROVADO
310,563867,1217917,906fb61db8d4c543d4f9e8d746e250b0,2.0,9.9,f,10.0,6.0,APROVADO
311,563868,1217917,906fb61db8d4c543d4f9e8d746e250b0,3.0,10.0,f,10.0,6.0,APROVADO
315,563872,1217917,a0a89fb407d12afefeb585fbd0232e80,1.0,9.0,f,9.6,10.0,APROVADO
316,563873,1217917,a0a89fb407d12afefeb585fbd0232e80,2.0,10.0,f,9.6,10.0,APROVADO
317,563874,1217917,a0a89fb407d12afefeb585fbd0232e80,3.0,9.7,f,9.6,10.0,APROVADO
318,563875,1217917,1e30378e6116ffd948012d513a448944,1.0,7.7,f,6.4,31.0,APROVADO POR NOTA
319,563876,1217917,1e30378e6116ffd948012d513a448944,2.0,5.8,f,6.4,31.0,APROVADO POR NOTA
320,563877,1217917,1e30378e6116ffd948012d513a448944,3.0,5.6,f,6.4,31.0,APROVADO POR NOTA
321,563878,1217917,851fe8913fe7e4e3bb131ee4a393bcb6,1.0,4.8,f,5.3,22.0,APROVADO POR NOTA
322,563879,1217917,851fe8913fe7e4e3bb131ee4a393bcb6,2.0,6.9,f,5.3,22.0,APROVADO POR NOTA
323,563880,1217917,851fe8913fe7e4e3bb131ee4a393bcb6,3.0,4.3,f,5.3,22.0,APROVADO POR NOTA
324,563881,1217917,72dcd1fa143cad070004d10eee2545fd,2.0,6.4,f,6.1,14.0,APROVADO POR NOTA
325,563882,1217917,72dcd1fa143cad070004d10eee2545fd,3.0,5.5,f,6.1,14.0,APROVADO POR NOTA
326,563883,1217917,72dcd1fa143cad070004d10eee2545fd,1.0,6.3,f,6.1,14.0,APROVADO POR NOTA
330,563887,1217917,e793aa9d2b00b6830ee02eeb41f24dc2,1.0,8.4,f,8.4,10.0,APROVADO
331,563888,1217917,e793aa9d2b00b6830ee02eeb41f24dc2,2.0,8.5,f,8.4,10.0,APROVADO
332,563889,1217917,e793aa9d2b00b6830ee02eeb41f24dc2,3.0,8.2,f,8.4,10.0,APROVADO
339,563896,1217917,a6828dd2dd4b8ff21c763f6d1f6f5e04,1.0,7.2,f,7.3,16.0,APROVADO
340,563897,1217917,a6828dd2dd4b8ff21c763f6d1f6f5e04,2.0,6.8,f,7.3,16.0,APROVADO
341,563898,1217917,a6828dd2dd4b8ff21c763f6d1f6f5e04,3.0,7.8,f,7.3,16.0,APROVADO
342,563899,1217917,a7aeb59e1b92828f2ec3bd5cb467ff1f,1.0,7.7,f,6.7,26.0,APROVADO POR NOTA
343,563900,1217917,a7aeb59e1b92828f2ec3bd5cb467ff1f,2.0,5.8,f,6.7,26.0,APROVADO POR NOTA
344,563901,1217917,a7aeb59e1b92828f2ec3bd5cb467ff1f,3.0,6.7,f,6.7,26.0,APROVADO POR NOTA
351,563908,1217917,aad31258ef0f8e30cd3d4eea691a6c18,1.0,8.3,f,8.0,0.0,APROVADO
352,563909,1217917,aad31258ef0f8e30cd3d4eea691a6c18,2.0,8.2,f,8.0,0.0,APROVADO
353,563910,1217917,aad31258ef0f8e30cd3d4eea691a6c18,3.0,7.5,f,8.0,0.0,APROVADO
357,563914,1217917,b7b1498c4d147abaa8cdb2635ea251e7,1.0,6.6,f,7.6,8.0,APROVADO
358,563915,1217917,b7b1498c4d147abaa8cdb2635ea251e7,2.0,8.2,f,7.6,8.0,APROVADO
359,563916,1217917,b7b1498c4d147abaa8cdb2635ea251e7,3.0,8.1,f,7.6,8.0,APROVADO
360,563917,1217917,52a3502de65d64546ec195cf3a52efdd,3.0,8.5,f,9.4,32.0,APROVADO
361,563918,1217917,52a3502de65d64546ec195cf3a52efdd,1.0,10.0,f,9.4,32.0,APROVADO
362,563919,1217917,52a3502de65d64546ec195cf3a52efdd,2.0,9.8,f,9.4,32.0,APROVADO
363,563920,1217917,47f433897cb69ee2468df16dedaa44f3,1.0,8.1,f,6.3,48.0,APROVADO POR NOTA
364,563921,1217917,47f433897cb69ee2468df16dedaa44f3,2.0,5.4,f,6.3,48.0,APROVADO POR NOTA
365,563922,1217917,47f433897cb69ee2468df16dedaa44f3,3.0,5.3,f,6.3,48.0,APROVADO POR NOTA
369,563926,1217917,65ea9e0d687a5db2d0ee98d6b8c82e47,2.0,0.0,f,0.6,148.0,REPROVADO POR MÉDIA E POR FALTAS
370,563927,1217917,65ea9e0d687a5db2d0ee98d6b8c82e47,3.0,0.0,f,0.6,148.0,REPROVADO POR MÉDIA E POR FALTAS
371,563928,1217917,65ea9e0d687a5db2d0ee98d6b8c82e47,1.0,1.9,f,0.6,148.0,REPROVADO POR MÉDIA E POR FALTAS
385,563942,1217917,94a4e2adb12c18557230095046025c52,1.0,5.9,f,5.5,40.0,APROVADO POR NOTA
386,563943,1217917,94a4e2adb12c18557230095046025c52,2.0,5.2,f,5.5,40.0,APROVADO POR NOTA
387,563944,1217917,94a4e2adb12c18557230095046025c52,3.0,5.5,f,5.5,40.0,APROVADO POR NOTA
388,563945,1217917,f74e8d844ba3ad5aaa4cfb9a70abec8d,1.0,7.1,f,7.6,34.0,APROVADO
389,563946,1217917,f74e8d844ba3ad5aaa4cfb9a70abec8d,2.0,7.5,f,7.6,34.0,APROVADO
390,563947,1217917,f74e8d844ba3ad5aaa4cfb9a70abec8d,3.0,8.1,f,7.6,34.0,APROVADO
391,563948,1217917,1769378784613a7f89344897979d8d68,1.0,10.0,f,9.0,28.0,APROVADO
392,563949,1217917,1769378784613a7f89344897979d8d68,2.0,8.1,f,9.0,28.0,APROVADO
393,563950,1217917,1769378784613a7f89344897979d8d68,3.0,8.9,f,9.0,28.0,APROVADO
394,563951,1217917,5be55a323a13bfe43f222a4d04047907,1.0,9.1,f,9.7,28.0,APROVADO
395,563952,1217917,5be55a323a13bfe43f222a4d04047907,2.0,10.0,f,9.7,28.0,APROVADO
396,563953,1217917,5be55a323a13bfe43f222a4d04047907,3.0,10.0,f,9.7,28.0,APROVADO
397,563954,1217917,64643cedb489d1f1c79849ae3d5b4835,1.0,3.5,f,6.6,8.0,APROVADO POR NOTA
398,563955,1217917,64643cedb489d1f1c79849ae3d5b4835,2.0,8.2,f,6.6,8.0,APROVADO POR NOTA
399,563956,1217917,64643cedb489d1f1c79849ae3d5b4835,3.0,8.0,f,6.6,8.0,APROVADO POR NOTA
405,563962,1217917,d74b3e9757144bbf51198784155a6ade,1.0,9.7,f,9.4,8.0,APROVADO
406,563963,1217917,d74b3e9757144bbf51198784155a6ade,2.0,8.5,f,9.4,8.0,APROVADO
407,563964,1217917,d74b3e9757144bbf51198784155a6ade,3.0,10.0,f,9.4,8.0,APROVADO
409,563966,1217917,00451143ff85cced810a59ae7dcc61e6,1.0,8.2,f,9.1,44.0,APROVADO
410,563967,1217917,00451143ff85cced810a59ae7dcc61e6,2.0,10.0,f,9.1,44.0,APROVADO
411,563968,1217917,00451143ff85cced810a59ae7dcc61e6,3.0,9.1,f,9.1,44.0,APROVADO
418,138895,1217918,ad1723416caab97b96c630e262481742,1.0,5.2,f,7.1,54.0,APROVADO
419,138896,1217918,ad1723416caab97b96c630e262481742,2.0,10.0,f,7.1,54.0,APROVADO
420,138897,1217918,ad1723416caab97b96c630e262481742,3.0,6.0,f,7.1,54.0,APROVADO
421,138898,1217918,2b19bf05f8ce4bc5814bd05d1b4cab36,2.0,10.0,f,8.7,36.0,APROVADO
422,138899,1217918,2b19bf05f8ce4bc5814bd05d1b4cab36,1.0,10.0,f,8.7,36.0,APROVADO
423,138900,1217918,2b19bf05f8ce4bc5814bd05d1b4cab36,3.0,6.0,f,8.7,36.0,APROVADO
424,138901,1217918,baf6c06a77f8436a2f1c068be8c7f854,1.0,8.0,f,6.8,54.0,APROVADO POR NOTA
425,138902,1217918,baf6c06a77f8436a2f1c068be8c7f854,2.0,8.0,f,6.8,54.0,APROVADO POR NOTA
426,138903,1217918,baf6c06a77f8436a2f1c068be8c7f854,3.0,4.5,f,6.8,54.0,APROVADO POR NOTA
436,138913,1217918,073dc96afed003942587f667a8dd97f2,3.0,0.0,f,0.0,184.0,REPROVADO POR MÉDIA E POR FALTAS
437,138914,1217918,073dc96afed003942587f667a8dd97f2,1.0,0.0,f,0.0,184.0,REPROVADO POR MÉDIA E POR FALTAS
438,138915,1217918,073dc96afed003942587f667a8dd97f2,2.0,0.0,f,0.0,184.0,REPROVADO POR MÉDIA E POR FALTAS
439,138916,1217918,0628ac15ccd4c18213597abf24f1dfb4,1.0,5.5,f,6.0,54.0,APROVADO POR NOTA
440,138917,1217918,0628ac15ccd4c18213597abf24f1dfb4,2.0,7.4,f,6.0,54.0,APROVADO POR NOTA
441,138918,1217918,0628ac15ccd4c18213597abf24f1dfb4,3.0,5.0,f,6.0,54.0,APROVADO POR NOTA
442,138919,1217918,bf797d2f088087988a830799e5e8d316,1.0,6.6,f,6.7,54.0,APROVADO POR NOTA
443,138920,1217918,bf797d2f088087988a830799e5e8d316,2.0,10.0,f,6.7,54.0,APROVADO POR NOTA
444,138921,1217918,bf797d2f088087988a830799e5e8d316,3.0,3.4,f,6.7,54.0,APROVADO POR NOTA
449,138926,1217918,739c7ac76005b144cc9b72cbe44a0e32,1.0,3.0,f,2.0,88.0,REPROVADO POR MÉDIA E POR FALTAS
450,138927,1217918,739c7ac76005b144cc9b72cbe44a0e32,2.0,3.0,f,2.0,88.0,REPROVADO POR MÉDIA E POR FALTAS
451,138928,1217918,739c7ac76005b144cc9b72cbe44a0e32,3.0,0.0,f,2.0,88.0,REPROVADO POR MÉDIA E POR FALTAS
455,138932,1217918,59bb6b95ccae15e58d7e1f837d79b006,1.0,5.3,f,5.1,54.0,APROVADO POR NOTA
456,138933,1217918,59bb6b95ccae15e58d7e1f837d79b006,2.0,4.7,f,5.1,54.0,APROVADO POR NOTA
457,138934,1217918,59bb6b95ccae15e58d7e1f837d79b006,3.0,5.3,f,5.1,54.0,APROVADO POR NOTA
