,Unnamed: 0,id_turma,discente,unidade,nota,reposicao,media_final,numero_total_faltas,descricao
15516,359791,57586397,500e6edfd4aae0cc92d0931f52794a07,1.0,3.29999995,f,2.8,16.0,REPROVADO
15517,359792,57586397,500e6edfd4aae0cc92d0931f52794a07,2.0,5.0,f,2.8,16.0,REPROVADO
15518,359793,57586397,500e6edfd4aae0cc92d0931f52794a07,3.0,0.0,f,2.8,16.0,REPROVADO
15519,359794,57586397,e53b28b055415073c4fcf1fdaac1e675,1.0,2.0999999,f,1.2,12.0,REPROVADO
15520,359795,57586397,e53b28b055415073c4fcf1fdaac1e675,2.0,1.5,f,1.2,12.0,REPROVADO
15521,359796,57586397,e53b28b055415073c4fcf1fdaac1e675,3.0,0.0,f,1.2,12.0,REPROVADO
15522,359797,57586397,70ab5bf4ea48b0305dac34a3b6ca9a30,3.0,8.89999962,f,6.6,20.0,APROVADO POR NOTA
15523,359798,57586397,70ab5bf4ea48b0305dac34a3b6ca9a30,1.0,5.30000019,f,6.6,20.0,APROVADO POR NOTA
15524,359799,57586397,70ab5bf4ea48b0305dac34a3b6ca9a30,2.0,5.69999981,f,6.6,20.0,APROVADO POR NOTA
15526,359801,57586397,a6828dd2dd4b8ff21c763f6d1f6f5e04,1.0,4.0999998999999985,f,1.5,10.0,REPROVADO
15527,359802,57586397,a6828dd2dd4b8ff21c763f6d1f6f5e04,2.0,0.0,f,1.5,10.0,REPROVADO
15528,359803,57586397,a6828dd2dd4b8ff21c763f6d1f6f5e04,3.0,0.400000006,f,1.5,10.0,REPROVADO
15529,359804,57586397,cb61f93d6145ddb7d4a4e28b7fe33225,1.0,2.9000001,t,3.7,2.0,REPROVADO
15530,359805,57586397,cb61f93d6145ddb7d4a4e28b7fe33225,2.0,3.70000005,f,3.7,2.0,REPROVADO
15531,359806,57586397,cb61f93d6145ddb7d4a4e28b7fe33225,3.0,4.0999998999999985,f,3.7,2.0,REPROVADO
15532,359807,57586397,8dca625c4aeef2641364d784bcef00c5,1.0,6.4000001,f,6.0,4.0,APROVADO POR NOTA
15533,359808,57586397,8dca625c4aeef2641364d784bcef00c5,2.0,5.80000019,f,6.0,4.0,APROVADO POR NOTA
15534,359809,57586397,8dca625c4aeef2641364d784bcef00c5,3.0,5.69999981,f,6.0,4.0,APROVADO POR NOTA
15537,359812,57586397,507b78920cea669978080e478577ae3a,3.0,8.10000038,f,7.7,0.0,APROVADO
15538,359813,57586397,507b78920cea669978080e478577ae3a,1.0,8.39999962,f,7.7,0.0,APROVADO
15539,359814,57586397,507b78920cea669978080e478577ae3a,2.0,6.69999981,f,7.7,0.0,APROVADO
15540,359815,57586397,e793aa9d2b00b6830ee02eeb41f24dc2,1.0,2.79999995,f,0.9,41.0,REPROVADO POR MÉDIA E POR FALTAS
15541,359816,57586397,e793aa9d2b00b6830ee02eeb41f24dc2,2.0,0.0,f,0.9,41.0,REPROVADO POR MÉDIA E POR FALTAS
15542,359817,57586397,e793aa9d2b00b6830ee02eeb41f24dc2,3.0,0.0,f,0.9,41.0,REPROVADO POR MÉDIA E POR FALTAS
15544,359819,57586397,10e449bd1f9b4f668d87b03921b9acad,1.0,3.70000005,f,3.3,6.0,REPROVADO
15545,359820,57586397,10e449bd1f9b4f668d87b03921b9acad,2.0,2.70000005,f,3.3,6.0,REPROVADO
15546,359821,57586397,10e449bd1f9b4f668d87b03921b9acad,3.0,3.5999999,f,3.3,6.0,REPROVADO
15554,359829,57586397,52e567da9dc48df1c9c4cca1d3857a71,1.0,4.69999981,f,5.0,0.0,APROVADO POR NOTA
15555,359830,57586397,52e567da9dc48df1c9c4cca1d3857a71,2.0,3.4000001,t,5.0,0.0,APROVADO POR NOTA
15556,359831,57586397,52e567da9dc48df1c9c4cca1d3857a71,3.0,5.0999999,f,5.0,0.0,APROVADO POR NOTA
15557,359832,57586397,f23e5fa8c16da3a0b77a4ed738182750,1.0,3.4000001,f,1.5,20.0,REPROVADO
15558,359833,57586397,f23e5fa8c16da3a0b77a4ed738182750,2.0,1.10000002,f,1.5,20.0,REPROVADO
15559,359834,57586397,f23e5fa8c16da3a0b77a4ed738182750,3.0,0.0,f,1.5,20.0,REPROVADO
