"professor";"aula";"aluno";"media"
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"140e5ddda576d3cac396f1e65be49a40 ";"3.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3ccc4768d600cec2599e6570366828fd ";"6.3 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"b9676be82ac7156ec9881ef05a39b3da ";"5.7 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"bd97c512bb301488bacfb4dbdad3f27b ";"1.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"5ea9b000b18fd4f53b88d30b49bd3613 ";"1.2 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"b0367cc573977057e54a192c19db9e01 ";"7.7 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"90dc160e68fd9a2b10d14af791aa4377 ";"0.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ea02749010f507f3e6b03a52b1ca9d4c ";"0.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"227dd4145147e60c4881366be6dcfecd ";"6.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"822e63601a153539fb63ca1a9098f31f ";"0.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"24639ba86aa8be3527cfd77ff6d44994 ";"0.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"c7f9313a1b2a576d8f06c7cf4a8541dd ";"7.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"282e9cf50e912701de19a933dc4e58f7 ";"1.2 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d9767f5a6e88adb4e6b065ca12a93c62 ";"6.3 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"f4adf6e7383d814a64b6ea9b5337a204 ";"8.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3383ba4f644dfbbc82f9148b8eca3e0f ";"5.9 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d1ba9caf01203f8bcb540b51f6fbe35a ";"7.9 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"5400c36d0d6ffae30f5ea6a2144e5a0b ";"8.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"130fa18e7cbe30c714f98937cf94abab ";"6.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"11611a414a1234325c7863e8d0783dc8 ";"0.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"06ea0294ba3439025e5e0ce371048585 ";"3.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"c58f8db5b0c907a7219e0b0d57c636a4 ";"5.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ca8909ce80b7ed85b87125c293a5f366 ";"5.8 "
