id_componente_curricular,disc_mean,total_alunos,ano_periodo
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.42,86,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,2.68,103,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,5.62,95,2017_1
RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,3.44,100,2017_1
CÁLCULO DIFERENCIAL E INTEGRAL I,2.4,51,2017_1
CÁLCULO DIFERENCIAL E INTEGRAL I,4.22,56,2017_1
CÁLCULO DIFERENCIAL E INTEGRAL I,3.77,37,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,1.01,75,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.56,96,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,2.85,93,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,1.54,49,2017_1
FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,1.0,58,2017_1
