,id_turma,codigo_turma,id_docente_interno,id_componente_curricular,local,ano,periodo,descricao_horario,total_solicitacoes,capacidade_aluno,situacao_turma,nome_disc,formacao_prof,id_prof,lotacao_prof,nome_prof,tipo_jornada_trabalho_prof,vinculo_prof
171,1228382,03,5756213,52662.0,A306 no CIVT,2014,2.0,246N12 (21/07/2014 - 06/12/2014),16,60,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
199,1228408,01,5755819,55022.0,B204 no CIVT,2014,2.0,246M34 (21/07/2014 - 06/12/2014),68,60,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,Dedicação exclusiva           ,Ativo Permanente
200,1228409,02,25889,55022.0,A306 no CIVT,2014,2.0,246M56 (21/07/2014 - 06/12/2014),81,60,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
201,1228410,03,5755388,55022.0,B204 no CIVT,2014,2.0,246N12 (21/07/2014 - 06/12/2014),85,60,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
564,1239374,01,5756224.0,55031.0,Sala 3H2 do Setor 3,2015,1.0,236M1234 (02/02/2015 - 20/06/2015),9.0,67.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
565,1239374,01,5756386.0,55031.0,Sala 3H2 do Setor 3,2015,1.0,236M1234 (02/02/2015 - 20/06/2015),9.0,67.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
626,1239381,02,5756386.0,55031.0,Sala 3H7 do Setor 3,2015,1.0,236M1234 (02/02/2015 - 20/06/2015),12.0,66.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
627,1239381,02,5756188.0,55031.0,Sala 3H7 do Setor 3,2015,1.0,236M1234 (02/02/2015 - 20/06/2015),12.0,66.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
658,1239386,03,5756813.0,55031.0,Sala 3H2 do Setor 3,2015,1.0,236N1234 (02/02/2015 - 20/06/2015),6.0,65.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
659,1239386,03,5756213.0,55031.0,Sala 3H2 do Setor 3,2015,1.0,236N1234 (02/02/2015 - 20/06/2015),6.0,65.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
660,1239388,04,25889.0,55031.0,Sala 3H7 do Setor 3,2015,1.0,236N1234 (02/02/2015 - 20/06/2015),6.0,68.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
661,1239388,04,5756968.0,55031.0,Sala 3H7 do Setor 3,2015,1.0,236N1234 (02/02/2015 - 20/06/2015),6.0,68.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
685,1239414,01,5756213.0,52662.0,A308,2015,1.0,246M56 (02/02/2015 - 20/06/2015),83.0,61.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
686,1239414,01,5756968.0,52662.0,A308,2015,1.0,246M56 (02/02/2015 - 20/06/2015),83.0,61.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
687,1239415,02,5755872.0,52662.0,A308,2015,1.0,246N34 (02/02/2015 - 20/06/2015),33.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,Dedicação exclusiva           ,Ativo Permanente
797,1239527,01,5755819.0,55022.0,A306,2015,1.0,246M34 (02/02/2015 - 20/06/2015),89.0,61.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,Dedicação exclusiva           ,Ativo Permanente
798,1239528,02,5755388.0,55022.0,A306,2015,1.0,246M56 (02/02/2015 - 20/06/2015),19.0,60.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
799,1239529,03,5757178.0,55022.0,A306,2015,1.0,246N12 (02/02/2015 - 20/06/2015),65.0,62.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
800,1239530,04,5757178.0,55022.0,A306,2015,1.0,246N34 (02/02/2015 - 20/06/2015),8.0,60.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
3460,57565214,01,5756968.0,55031.0,3H2 - Setor III,2015,2.0,246T1234 (27/07/2015 - 19/12/2015),9.0,76.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
3461,57565214,01,5756386.0,55031.0,3H2 - Setor III,2015,2.0,246T1234 (27/07/2015 - 19/12/2015),9.0,76.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
3470,57565222,02,5755819.0,55031.0,3H2 - Setor III,2015,2.0,246M1234 (27/07/2015 - 19/12/2015),16.0,60.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5755819.0,INSTITUTO METROPOLE DIGITAL,ANDERSON PAIVA CRUZ,Dedicação exclusiva           ,Ativo Permanente
3471,57565222,02,5757585.0,55031.0,3H2 - Setor III,2015,2.0,246M1234 (27/07/2015 - 19/12/2015),16.0,60.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
3473,57565224,03,5757669.0,55031.0,3H2 - Setor III,2015,2.0,246N1234 (27/07/2015 - 19/12/2015),25.0,61.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
3474,57565224,03,25889.0,55031.0,3H2 - Setor III,2015,2.0,246N1234 (27/07/2015 - 19/12/2015),25.0,61.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
2987,57564843,01,5756813.0,52662.0,A306 - CIVT,2015,2.0,246M34 (27/07/2015 - 19/12/2015),47.0,64.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
2988,57564844,02,5757540.0,52662.0,B203 - CIVT,2015,2.0,246M56 (27/07/2015 - 19/12/2015),70.0,63.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
2989,57564844,02,5756813.0,52662.0,B203 - CIVT,2015,2.0,246M56 (27/07/2015 - 19/12/2015),70.0,63.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
2991,57564846,03,5755872.0,52662.0,A308 - CIVT,2015,2.0,246N12 (27/07/2015 - 19/12/2015),30.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,Dedicação exclusiva           ,Ativo Permanente
