,id_turma,codigo_turma,id_docente_interno,id_componente_curricular,local,ano,periodo,descricao_horario,total_solicitacoes,capacidade_aluno,situacao_turma,nome_disc,formacao_prof,id_prof,lotacao_prof,nome_prof,tipo_jornada_trabalho_prof,vinculo_prof
3513,57586286,01,5756813.0,52662.0,A306 - CIVT,2016,2.0,246T56 (25/07/2016 - 17/12/2016),54.0,65.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
3514,57586287,02,5757669.0,52662.0,A306 - CIVT,2016,2.0,246N12 (25/07/2016 - 17/12/2016),39.0,65.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
3515,57586288,03,5757669.0,52662.0,A306 - CIVT,2016,2.0,246N34 (25/07/2016 - 17/12/2016),25.0,65.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
3517,57586290,04,5757540.0,52662.0,A306 - CIVT,2016,2.0,246M34 (25/07/2016 - 17/12/2016),65.0,62.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
3534,57586303,01,5757928.0,55022.0,A306 - CIVT,2016,2.0,246M12 (25/07/2016 - 17/12/2016),55.0,65.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
3549,57586312,02,5755388.0,55022.0,B204 - CIVT,2016,2.0,246M56 (25/07/2016 - 17/12/2016),47.0,65.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
3552,57586314,03,5757928.0,55022.0,A306 - CIVT,2016,2.0,246T12 (25/07/2016 - 17/12/2016),66.0,65.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
3556,57586317,04,5757958.0,55022.0,B204 - CIVT,2016,2.0,246N12 (25/07/2016 - 17/12/2016),62.0,65.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5757958.0,INSTITUTO METROPOLE DIGITAL,ATHANASIOS TSOUANAS,Dedicação exclusiva           ,Ativo Permanente
3558,57586319,05,5757958.0,55022.0,B203 - CIVT,2016,2.0,246N34 (25/07/2016 - 17/12/2016),18.0,65.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5757958.0,INSTITUTO METROPOLE DIGITAL,ATHANASIOS TSOUANAS,Dedicação exclusiva           ,Ativo Permanente
4880,57597051,01,5757585.0,55031.0,B203 - CIVT,2017,1.0,246M3456 (13/02/2017 - 01/07/2017),22.0,83.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
4881,57597051,01,5756816.0,55031.0,B203 - CIVT,2017,1.0,246M3456 (13/02/2017 - 01/07/2017),22.0,83.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,5756816.0,INSTITUTO METROPOLE DIGITAL,ALYSON MATHEUS DE CARVALHO SOUZA,Dedicação exclusiva           ,Ativo Permanente
4888,57597055,02,5756816.0,55031.0,B204 - CIVT,2017,1.0,246M3456 (13/02/2017 - 01/07/2017),16.0,81.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,5756816.0,INSTITUTO METROPOLE DIGITAL,ALYSON MATHEUS DE CARVALHO SOUZA,Dedicação exclusiva           ,Ativo Permanente
4889,57597055,02,5759154.0,55031.0,B204 - CIVT,2017,1.0,246M3456 (13/02/2017 - 01/07/2017),16.0,81.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
4891,57597057,03,5756386.0,55031.0,B204,2017,1.0,246T1234 (13/02/2017 - 01/07/2017),50.0,89.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
4892,57597057,03,5757585.0,55031.0,B204,2017,1.0,246T1234 (13/02/2017 - 01/07/2017),50.0,89.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
4893,57597058,04,5758787.0,55031.0,B203 - CIVT,2017,1.0,246N1234 (13/02/2017 - 01/07/2017),25.0,87.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,GRADUAÇÃO,5758787.0,INSTITUTO METROPOLE DIGITAL,AUGUSTO JORGE DE MACEDO,20 horas semanais             ,Ativo Permanente
4894,57597058,04,5757583.0,55031.0,B203 - CIVT,2017,1.0,246N1234 (13/02/2017 - 01/07/2017),25.0,87.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
4898,57597062,05,5757583.0,55031.0,B204 - CIVT,2017,1.0,246N1234 (13/02/2017 - 01/07/2017),30.0,77.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
4899,57597062,05,5757669.0,55031.0,B204 - CIVT,2017,1.0,246N1234 (13/02/2017 - 01/07/2017),30.0,77.0,CONSOLIDADA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
5547,57597581,01,5755872.0,52662.0,A306 - CIVT,2017,1.0,246M34 (13/02/2017 - 01/07/2017),44.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,DOUTORADO,5755872.0,INSTITUTO METROPOLE DIGITAL,SAMYR SILVA BEZERRA JACOME,Dedicação exclusiva           ,Ativo Permanente
5548,57597582,02,5757540.0,52662.0,A306 - CIVT,2017,1.0,246T12 (13/02/2017 - 01/07/2017),54.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
5549,57597583,03,5757540.0,52662.0,A308 - CIVT,2017,1.0,246N34 (13/02/2017 - 01/07/2017),35.0,60.0,CONSOLIDADA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
5570,57597592,01,5755388.0,55022.0,A306 - CIVT,2017,1.0,246M56 (13/02/2017 - 01/07/2017),70.0,73.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
5571,57597593,02,25889.0,55022.0,A306 - CIVT,2017,1.0,246T56 (13/02/2017 - 01/07/2017),0.0,60.0,EXCLUÍDA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
5572,57597594,03,25889.0,55022.0,A306 - CIVT,2017,1.0,246N34 (13/02/2017 - 01/07/2017),0.0,60.0,EXCLUÍDA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
9870,57600129,04,5757669.0,55022.0,CIVT - A306,2017,1.0,246T34 (13/02/2017 - 01/07/2017),100.0,72.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
9871,57600130,05,5756813.0,55022.0,CIVT - A306,2017,1.0,246N12 (13/02/2017 - 01/07/2017),93.0,71.0,CONSOLIDADA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
8606,57608377,01,5756386.0,55031.0,CIVT - B204/A307,2017,2.0,246M3456 (24/07/2017 - 16/12/2017),65.0,65.0,ABERTA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,DOUTORADO,5756386.0,INSTITUTO METROPOLE DIGITAL,CHARLES ANDRYE GALVAO MADEIRA,Dedicação exclusiva           ,Ativo Permanente
8607,57608377,01,25889.0,55031.0,CIVT - B204/A307,2017,2.0,246M3456 (24/07/2017 - 16/12/2017),65.0,65.0,ABERTA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
8608,57608377,01,5759424.0,55031.0,CIVT - B204/A307,2017,2.0,246M3456 (24/07/2017 - 16/12/2017),65.0,65.0,ABERTA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,vazio,0.0,vazio,vazio,vazio,vazio
8609,57608378,02,5757969.0,55031.0,CIVT - B204/A309,2017,2.0,246N1234 (24/07/2017 - 16/12/2017),71.0,67.0,ABERTA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,MESTRADO,5757969.0,INSTITUTO METROPOLE DIGITAL,ANDRE LUIZ DA SILVA SOLINO,20 horas semanais             ,Ativo Permanente
8610,57608378,02,5758787.0,55031.0,CIVT - B204/A309,2017,2.0,246N1234 (24/07/2017 - 16/12/2017),71.0,67.0,ABERTA,RESOLUÇÃO DE PROBLEMAS MATEMÁTICOS PARA TI,GRADUAÇÃO,5758787.0,INSTITUTO METROPOLE DIGITAL,AUGUSTO JORGE DE MACEDO,20 horas semanais             ,Ativo Permanente
8627,57608392,01,5757540.0,52662.0,CIVT - A306,2017,2.0,246T12 (24/07/2017 - 16/12/2017),0.0,65.0,EXCLUÍDA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
8628,57608393,02,5757540.0,52662.0,CIVT - A308,2017,2.0,246M34 (24/07/2017 - 16/12/2017),117.0,68.0,ABERTA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
8629,57608394,03,25889.0,52662.0,CIVT - A308,2017,2.0,246N12 (24/07/2017 - 16/12/2017),21.0,65.0,ABERTA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,25889.0,INSTITUTO METROPOLE DIGITAL,LOURENA KARIN DE MEDEIROS ROCHA,Dedicação exclusiva           ,Ativo Permanente
8630,57608394,03,5759424.0,52662.0,CIVT - A308,2017,2.0,246N12 (24/07/2017 - 16/12/2017),21.0,65.0,ABERTA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
8631,57608395,04,5759154.0,52662.0,CIVT - A308,2017,2.0,246N34 (24/07/2017 - 16/12/2017),32.0,65.0,ABERTA,CÁLCULO DIFERENCIAL E INTEGRAL I,vazio,0.0,vazio,vazio,vazio,vazio
9731,57609278,05,5757540.0,52662.0,CIVT - A306,2017,2.0,246T56 (24/07/2017 - 16/12/2017),73.0,66.0,ABERTA,CÁLCULO DIFERENCIAL E INTEGRAL I,MESTRADO,5757540.0,INSTITUTO METROPOLE DIGITAL,ANTONIO IGOR SILVA DE OLIVEIRA,Dedicação exclusiva           ,Ativo Permanente
8636,57608400,01,5756813.0,55022.0,CIVT - A306,2017,2.0,246M34 (24/07/2017 - 16/12/2017),77.0,65.0,ABERTA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
8637,57608401,02,5756813.0,55022.0,CIVT - A306,2017,2.0,246M56 (24/07/2017 - 16/12/2017),131.0,67.0,ABERTA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,MESTRADO,5756813.0,INSTITUTO METROPOLE DIGITAL,RAFAELA HORACINA SILVA ROCHA SOARES,Dedicação exclusiva           ,Ativo Permanente
8638,57608402,03,5759146.0,55022.0,CIVT - A306,2017,2.0,246N12 (24/07/2017 - 16/12/2017),110.0,68.0,ABERTA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
8639,57608403,04,5759146.0,55022.0,CIVT - A306,2017,2.0,246N34 (24/07/2017 - 16/12/2017),64.0,65.0,ABERTA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,vazio,0.0,vazio,vazio,vazio,vazio
9736,57609283,05,5755388.0,55022.0,CIVT - A306,2017,2.0,246T12 (24/07/2017 - 16/12/2017),39.0,65.0,ABERTA,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,DOUTORADO,5755388.0,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,CARLOS AUGUSTO PROLO,Dedicação exclusiva           ,Ativo Permanente
